KOD,TYPE,FİYAT
4022607,GIORGIO ARMANI CITY GLAM FOR HER,55.9
4362177,GIORGIO ARMANI CODE,64.5
4078439,GIORGIO ARMANI CODE LUNE,74.175
4190977,GIORGIO ARMANI CODE SATIN,69.875
4053013,GIORGIO ARMANI CODE SUMMER FOR WOMEN,66.64999999999999
4062091,GIORGIO ARMANI PINK,64.5
4249515,GIORGIO ARMANI PRIVE OUD ROYAL,66.64999999999999
4198604,GIORGIO ARMANI PRIVE ROSE ALEXANDRIE,70.95
4375194,GIORGIO ARMANI PRIVE ROSE D'ARABIE,75.25
4045721,IDOLE D'GIORGIO ARMANI,77.39999999999999
4364903,IN LOWE WITH YOU,74.175
4022693,MANIA,48.375
4427471,MY WAY,73.1
4042109,ONDE EXTASE,66.64999999999999
4439901,PRIVE JASMIN KUSAMONO,66.64999999999999
4011206,SENSI,50.525
4024871,SENSI WHITE NOTES,53.75
4102065,SI,70.95
4139611,SI INTENSE,66.64999999999999
4293339,SI ROSE SIGNATURE,74.175
4381866,SKY DI GIOIA,73.1
4500133,MY WAY INTENSE,74.175
4050467,ABSOLUTELY IRRESISTIBLE,63.425
4036094,AMARIAGE MARIAGE,59.125
4454806,AMARIGE,51.59999999999999
4045886,ANGE & DEMON,61.275
4047339,ANGE & DEMON LE SECRET,63.425
4058210,ANGE & DEMON LE SECRET SANTAL D'HIVER,66.64999999999999
4043952,ANGE & DEMON TENDRE ,77.39999999999999
4094810,BLOOM,66.64999999999999
4186380,DAHLIA DIVIN,73.1
4067556,DAHLIA NOIR,73.1
4021777,EAU DE GIVENCHY,53.75
4134463,EAUDEMOISELLE DE BOIS DE OUD,73.1
4007282,EXTRAVAGANCE,45.15
4015601,INTO THE BLUE,53.75
4339610,L'INTERDIT,73.1
4195575,LIVE IRRESISTIBLE,73.1
4016996,MY COUTURE,53.75
4023472,MY GIVENCHY,55.9
4017718,OBLIQUE REWIND,59.125
4013985,ONLY,54.825
4021759,ORGANZA FIRST LIGHT,55.9
4017040,ORGANZA INDECENCE,48.375
4054383,PLAY FOR HER,66.64999999999999
4058083,PLAY FOR INTENSE,66.64999999999999
4089660,PLAY IN THE CITY FOR HER,69.875
4043573,VERY IRRESISTIBLE,68.8
4362211,VERY IRRESISTIBLE 2005,69.875
